"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Tèrra Aventura","ASCAQU033V51CU8Q","Produit","Pratique",,"Saint-Émilion","33330","33394","Gironde","Nouvelle-Aquitaine","44.8934566","-0.1565709",,"OT Saint-Emilion","2026-03-16T00:00:00.000Z","2026-06-27T02:27:42.243Z"
"Tèrra Aventura : L'astroquête","ASCAQU087V500AAI","Produit","Pratique",,"Rochechouart","87600","87126","Haute-Vienne","Nouvelle-Aquitaine","45.8233266","0.820562839","https://www.terra-aventura.fr/caches/lastroquete","CRT_NA","2026-08-13T00:00:00.000Z","2026-08-14T02:02:38.929Z"
"Tèrra Aventura : Mais qui sont ces Fricassous ?!","ASCAQU086V501G81","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Château-Larcher","86370","86065","Vienne","Nouvelle-Aquitaine","46.4174558","0.31255058","https://www.terra-aventura.fr/","Office de Tourisme des Vallées du Clain","2026-06-25T00:00:00.000Z","2026-06-27T02:27:42.244Z"
"Terra Aventura : ""L'Ovnicache""","ASCAQU033V50QPBX","Produit","Pratique",,"Arès","33740","33011","Gironde","Nouvelle-Aquitaine","44.764441","-1.142052",,"Office de Tourisme d'Arès","2026-02-24T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : ""Dans le même bateau""","ASCAQU033V50L51D","Produit","Pratique",,"Lormont","33310","33249","Gironde","Nouvelle-Aquitaine","44.8780343","-0.5342767","https://www.terra-aventura.fr/","OT Bordeaux Métropole","2026-01-06T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura - Matha","5859878","Lieu","Site sportif, récréatif et de loisirs",,"Matha","17160","17224","Charente-Maritime","Nouvelle-Aquitaine","45.866388","-0.321011","https://www.destinationvalsdesaintonge.com/,https://www.terra-aventura.fr/","Office de Tourisme des Vals de Saintonge","2026-01-09T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura « Les z’arts au soleil »","ASCAQU0406069183","Produit","Pratique",,"Mont-de-Marsan","40000","40192","Landes","Nouvelle-Aquitaine","43.893485","-0.499782","https://www.terra-aventura.fr/","OT Mont-de-Marsan","2026-07-17T00:00:00.000Z","2026-07-18T02:27:57.396Z"
"Terra Aventura : Au Four et au Moulin","ITIAQU024V50O5TD","Itinéraire touristique","Itinéraire pédestre",,"La Tour-Blanche-Cercles","24320","24554","Dordogne","Nouvelle-Aquitaine","45.3658304","0.44609099","https://www.perigord-inattendu.fr/,https://www.terra-aventura.fr/","Val de Dronne","2026-02-23T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Ribérac la Contemporaine","ITIAQU024V50O5T6","Itinéraire touristique","Itinéraire pédestre",,"Ribérac","24600","24352","Dordogne","Nouvelle-Aquitaine","45.2479975","0.33828667","https://www.perigord-inattendu.fr/,https://www.terra-aventura.fr/","Val de Dronne","2026-02-23T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura - C'est qui les molasses ? Pas nous !","ASCAQU047V50947T","Produit","Pratique",,"Saint-Pastour","47290","47265","Lot-et-Garonne","Nouvelle-Aquitaine","44.4879307","0.59961312","http://www.tourisme-coeurlotetgaronne.fr/,https://www.terra-aventura.fr/","OT Vallée du Lot et Garonne","2026-01-07T00:00:00.000Z","2026-06-27T02:27:42.240Z"
"Terra Aventura : Only Diou !","ASCAQU024V50JJYC","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Grignols","24110","24205","Dordogne","Nouvelle-Aquitaine","45.0818603","0.54329927","https://www.terra-aventura.fr/","Vallée de l'Isle en Périgord","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Toqués de Porcelaine","ASCAQU087V500JLT","Produit","Pratique",,"Limoges","87000","87085","Haute-Vienne","Nouvelle-Aquitaine","45.83207","1.2528","https://www.terra-aventura.fr/caches/toques-de-porcelaine","OT Limoges Métropole","2026-05-27T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Du bruit dans les bruyères","ASCAQU087V500D0A","Produit","Pratique",,"La Porcherie","87380","87120","Haute-Vienne","Nouvelle-Aquitaine","45.5692841","1.52977868","https://www.terra-aventura.fr/caches/du-bruit-dans-les-bruyeres","OT Briance Sud Haute-Vienne","2026-05-30T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Connectez-vous email","ASCAQU087V500IAS","Produit","Pratique",,"Limoges","87000","87085","Haute-Vienne","Nouvelle-Aquitaine","45.8162774","1.2623048","https://www.terra-aventura.fr/caches/connectez-vous-email","OT Limoges Métropole","2025-10-18T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Gouffier & le chevalier au ...","ASCAQU087V500AAC","Produit","Pratique",,"Rilhac-Lastours","87800","87124","Haute-Vienne","Nouvelle-Aquitaine","45.6481091","1.11897105","https://www.terra-aventura.fr/parcours","CRT_NA","2026-01-01T00:00:00.000Z","2026-06-27T02:27:42.245Z"
"Tèrra Aventura : L’histoire des Pelauds","ASCAQU087V500A8G","Produit","Pratique",,"Eymoutiers","87120","87064","Haute-Vienne","Nouvelle-Aquitaine","45.73866","1.74128567","https://www.terra-aventura.fr/caches/lhistoire-des-pelauds","CRT_NA","2026-01-01T00:00:00.000Z","2026-07-03T02:18:24.781Z"
"Tèrra Aventura : Les mégalithes et leurs légendes","ASCAQU087V500A70","Produit","Pratique",,"Bellac","87520","87011","Haute-Vienne","Nouvelle-Aquitaine","45.9915639","1.049805","https://www.terra-aventura.fr/caches/les-megalithes-et-leurs-legendes","CRT_NA","2026-01-01T00:00:00.000Z","2026-07-03T02:18:24.779Z"
"Tèrra Aventura : Les seigneurs de Champagnac","ASCAQU087V500A6Z","Produit","Pratique",,"Val-d'Oire-et-Gartempe","87330","87028","Haute-Vienne","Nouvelle-Aquitaine","46.2272344","0.92256525","https://www.terra-aventura.fr/caches/les-seigneurs-de-champagnac","CRT_NA","2026-01-01T00:00:00.000Z","2026-07-03T02:18:24.775Z"
"Terra Aventura : La palette de Suzanne","ASCAQU087V500A73","Produit","Pratique",,"Bessines-sur-Gartempe","87250","87014","Haute-Vienne","Nouvelle-Aquitaine","46.1095448","1.3705677","https://www.terra-aventura.fr/caches/la-palette-de-suzanne","CRT_NA","2026-06-12T00:00:00.000Z","2026-06-13T02:24:35.292Z"
"Tèrra Aventura : À l'assaut de Châlucet","ASCAQU087V500I3L","Produit","Pratique",,"Saint-Jean-Ligoure","87260","87151","Haute-Vienne","Nouvelle-Aquitaine","45.7313885","1.31374905","https://www.terra-aventura.fr/caches/lassaut-de-chalucet","OT Pays de Nexon - Monts de Châlus","2026-01-01T00:00:00.000Z","2026-06-27T02:27:42.243Z"
"Tèrra Aventura : L’empreinte du loup","ASCAQU087V500A9H","Produit","Pratique",,"Meuzac","87380","87095","Haute-Vienne","Nouvelle-Aquitaine","45.5785345","1.40386529","https://www.terra-aventura.fr/caches/lempreinte-du-loup","OT Briance Sud Haute-Vienne","2026-06-26T00:00:00.000Z","2026-06-27T02:27:42.246Z"
"Tèrra Aventura : Les méz’aventures de Zarthus","ASCAQU087V500E2Q","Produit","Pratique",,"Les Salles-Lavauguyon","87440","87189","Haute-Vienne","Nouvelle-Aquitaine","45.7424169","0.69340691","https://www.terra-aventura.fr/caches/les-mezaventures-de-zarthus","OT LIMOUSIN nouveaux horizons - Porte Océane du Limousin","2026-07-16T00:00:00.000Z","2026-07-17T02:28:20.941Z"
"Tèrra Aventura : Vertunian Thérapie","ASCAQU087V500E0W","Produit","Pratique",,"Saint-Victurnien","87420","87185","Haute-Vienne","Nouvelle-Aquitaine","45.8772602","1.01251926","https://www.terra-aventura.fr/caches/vertunian-therapie","OT LIMOUSIN nouveaux horizons - Porte Océane du Limousin","2026-07-24T00:00:00.000Z","2026-07-25T02:16:00.240Z"
